VSTCR_EL2			S3_4_c2_c6_2
DACR32_EL2			S3_4_c3_c0_0
HDFGRTR_EL2			S3_4_c3_c1_4
HDFGWTR_EL2			S3_4_c3_c1_5
HAFGRTR_EL2			S3_4_c3_c1_6
SPSR_EL2			S3_4_c4_c0_0
ELR_EL2				S3_4_c4_c0_1
SP_EL1				S3_4_c4_c1_0
SPSR_irq			S3_4_c4_c3_0
SPSR_abt			S3_4_c4_c3_1
SPSR_und			S3_4_c4_c3_2
SPSR_fiq			S3_4_c4_c3_3
IFSR32_EL2			S3_4_c5_c0_1
AFSR0_EL2			S3_4_c5_c1_0
AFSR1_EL2			S3_4_c5_c1_1
ESR_EL2				S3_4_c5_c2_0
VSESR_EL2			S3_4_c5_c2_3
FPEXC32_EL2			S3_4_c5_c3_0
TFSR_EL2			S3_4_c5_c6_0
FAR_EL2				S3_4_c6_c0_0
HPFAR_EL2			S3_4_c6_c0_4
PMSCR_EL2			S3_4_c9_c9_0
MAIR_EL2			S3_4_c10_c2_0
AMAIR_EL2			S3_4_c10_c3_0
MPAMHCR_EL2			S3_4_c10_c4_0
MPAMVPMV_EL2		S3_4_c10_c4_1
MPAM2_EL2			S3_4_c10_c5_0
MPAMVPM0_EL2		S3_4_c10_c6_0
MPAMVPM1_EL2		S3_4_c10_c6_1
MPAMVPM2_EL2		S3_4_c10_c6_2
MPAMVPM3_EL2		S3_4_c10_c6_3
MPAMVPM4_EL2		S3_4_c10_c6_4
MPAMVPM5_EL2		S3_4_c10_c6_5
MPAMVPM6_EL2		S3_4_c10_c6_6
MPAMVPM7_EL2		S3_4_c10_c6_7
VBAR_EL2			S3_4_c12_c0_0
RVBAR_EL2			S3_4_c12_c0_1
RMR_EL2				S3_4_c12_c0_2
VDISR_EL2			S3_4_c12_c1_1
ICH_AP0R0_EL2		S3_4_c12_c8_0
ICH_AP0R1_EL2		S3_4_c12_c8_1
ICH_AP0R2_EL2		S3_4_c12_c8_2
ICH_AP0R3_EL2		S3_4_c12_c8_3
ICH_AP1R0_EL2		S3_4_c12_c9_0
ICH_AP1R1_EL2		S3_4_c12_c9_1
ICH_AP1R2_EL2		S3_4_c12_c9_2
ICH_AP1R3_EL2		S3_4_c12_c9_3
ICC_SRE_EL2			S3_4_c12_c9_5
ICH_HCR_EL2			S3_4_c12_c11_0
ICH_VTR_EL2			S3_4_c12_c11_1
ICH_MISR_EL2		S3_4_c12_c11_2
ICH_EISR_EL2		S3_4_c12_c11_3
ICH_ELRSR_EL2		S3_4_c12_c11_5
ICH_VMCR_EL2		S3_4_c12_c11_7
ICH_LR0_EL2			S3_4_c12_c12_0
ICH_LR1_EL2			S3_4_c12_c12_1
ICH_LR2_EL2			S3_4_c12_c12_2
ICH_LR3_EL2			S3_4_c12_c12_3
ICH_LR4_EL2			S3_4_c12_c12_4
ICH_LR5_EL2			S3_4_c12_c12_5
ICH_LR6_EL2			S3_4_c12_c12_6
ICH_LR7_EL2			S3_4_c12_c12_7
ICH_LR8_EL2			S3_4_c12_c13_0
ICH_LR9_EL2			S3_4_c12_c13_1
ICH_LR10_EL2		S3_4_c12_c13_2
ICH_LR11_EL2		S3_4_c12_c13_3
ICH_LR12_EL2		S3_4_c12_c13_4
ICH_LR13_EL2		S3_4_c12_c13_5
ICH_LR14_EL2		S3_4_c12_c13_6
ICH_LR15_EL2		S3_4_c12_c13_7
